vanilla-i18n-key,English,Deutsch
title,OCR-D Model Card and Metadata Creator,OCR-D Model Card and Metadata Creator
nav.charter,Data reuse charter,Datenverwendung Charter
infobar.todo.title,ToDo,ToDo
infobar.todo.step1.title,Fill the form,Füllen Sie das Formular aus
infobar.todo.step1.info,Follow the examples and note that you can always manually modify the output. This form only helps you structure the description and ensure that every item is documented.,"Folgen Sie den Beispielen und beachten Sie, dass Sie das Ergebnis jederzeit manuell ändern können. Dieses Formular hilft nur dabei, die Beschreibung zu strukturieren und sicherzustellen, dass jedes Element dokumentiert ist."
infobar.todo.step2.title,"Click on ""Get formatted metadata""","Klicken Sie auf ""Formatierte Metadaten abrufen"""
infobar.todo.step2.info,And copy the output !,Und kopieren Sie das Ergebnis!
infobar.help.title,Help,Hilfe
infobar.help.level.title,Transcription level,Transkriptionslevel
infobar.help.level.info,"An overview of the transcription levels can be found at <a href=""https://tboenig.github.io/gt-guidelines/html/trans/trLevels.html"">GT-Guidelines</a>.<br/><br/>The <b>mixed level</b> contains transcriptions that correspond to several levels. There is no compatibility between the levels, see for example <a href=""https://tboenig.github.io/gt-guidelines/html/trans/trSilbentrennung.html"">hyphenation</a>.<br/><br/>To assess the transcription level, please read the <a href=""https://tboenig.github.io/gt-guidelines/html/trans/index.html"">GT-Guidelines</a>","Eine Übersicht über die Transkriptionsstufen finden Sie unter <a href=""https://tboenig.github.io/gt-guidelines/html/trans/trLevels.html"">GT-Guidelines</a>.<br/><br/>Das <b>gemischte Level</b> enthält Transkriptionen, die mehreren Leveln entsprechen. Es besteht keine Kompatibilität zwischen den Leveln, siehe zum Beispiel <a href=""https://tboenig.github.io/gt-guidelines/html/trans/trSilbentrennung.html"">Silbentrennung</a>.<br/><br/>Um die Transkriptionslevel zu bewerten, lesen Sie bitte die <a href=""https://tboenig.github.io/gt-guidelines/html/trans/index.html"">GT-Guidelines</a>."
infobar.help.modelcards.title,Model Cards,Model Cards
infobar.help.modelcards.info,"Model cards are files that accompany the models and provide handy information. Under the hood, model cards are simple Markdown files with additional metadata. Model cards are essential for discoverability, reproducibility, and sharing! You can find a model card as the README.md file in any model repo. Further information: <a  href=""https://huggingface.co/docs/hub/model-cards"">https://huggingface.co/docs/hub/model-cards</a> ","Model Cards sind Dateien, die die Modelle begleiten und praktische Informationen liefern. Unter der Haube sind Modellkarten einfache Markdown-Dateien mit zusätzlichen Metadaten. Modellkarten sind wichtig für die Auffindbarkeit, Reproduzierbarkeit und gemeinsame Nutzung! Sie können eine Modellkarte als README.md-Datei in jedem Modell-Repository finden. Weitere Informationen:  <a  href=""https://huggingface.co/docs/hub/model-cards"">https://huggingface.co/docs/hub/model-cards</a> "
form.field.required,"Fields followed by a <span class=""required"">*</span> are the only ones required.","Felder, die von einem <span class=""required"">*</span> gefolgt werden, sind die einzigen erforderlichen."
form.heading.persons,Person details,Allgemeine Informationen über beteiligte Personen
form.heading.project,Project details,Allgemeine Informationen über das Projekt
form.heading.generate,Generate the <code>metadata.yml</code> file,Generieren Sie die Datei <code>metadata.yml</code>
form.heading.model,Model details,Allgemeine Informationen zum Modell
form.heading.training,Model training,Allgemeine Informationen zum Training
form.heading.training_data,Detailed information about the training data,Detaillierte Informationen zu den Trainingsdaten
form.heading.evaluation,Model evaluation,Evaluation des Modells
form.heading.howto,How to get started,Anwendung des Modells
form.heading.glossary,Glossary,Glossar
form.heading.environmental,Environmental impact,Umwelteinfluss
form.heading.risks,Limitations and risks  [optional],Grenzen und Risiken  [optional]
form.heading.uses,Uses  [optional],Anwendungsfälle  [optional]
form.heading.citation,Citation  [optional],Zitation  [optional]
form.model.name.title,Model name,Modellname
form.model.name.input,Model name,Modellname
form.model.repo.link.title,Link to repository,Link zum Repository
form.model.repo.link.input,Link to repository,Link zum Repository
form.model.default.link.title,Link to default model,Link zum Standardmodell
form.model.default.link.input,Link to default model,Link zum Standardmodell
form.model.default.link.info,"Provide a URL to the default model. If you only have one model, then use the url to that. If you have several models of the same type, choose one as the default.","Geben Sie eine URL zum Standardmodell an. Wenn Sie nur ein Modell haben, verwenden Sie die URL dazu. Wenn Sie mehrere Modelle desselben Typs haben, wählen Sie eines als Standard aus."
form.model.default.creation.title,Date of creation,Erstellungsdatum
form.model.default.creation.input,,
form.model.default.creation.info,"If you want to provide just a year (e.g. 2021), choose: 01-01-2021","Wenn Sie nur ein Jahr angeben möchten (z. B. 2021), wählen Sie: 01.01.2021"
form.model.description.title,Description,Beschreibung
form.model.description.input,Short description of the model,Kurze Beschreibung des Modells
form.model.cff.title,Link to a CITATION.cff file,Link zu einer CITATION.cff-Datei
form.model.cff.input,Link to a CITATION.cff file,Link zu einer CITATION.cff-Datei
